step,metric,value
1,train_mse,0.8489108682
2,train_mse,0.5793799162
3,train_mse,0.3263086081
4,train_mse,0.3468441963
5,train_mse,0.3256955445
6,train_mse,0.3143752515
7,train_mse,0.2864530385
8,train_mse,0.3208693862
9,train_mse,0.2963632047
10,train_mse,0.272023052
11,train_mse,0.338216722
12,train_mse,0.2833147347
13,train_mse,0.3178610504
14,train_mse,0.299238801
15,train_mse,0.323771894
16,train_mse,0.2767736316
17,train_mse,0.3105583191
18,train_mse,0.2963496447
19,train_mse,0.2834077775
20,train_mse,0.2695715427
21,train_mse,0.2440985292
22,train_mse,0.2911407351
23,train_mse,0.2808197141
24,train_mse,0.2658402324
25,train_mse,0.2704094052
26,train_mse,0.2895638645
27,train_mse,0.3005173802
28,train_mse,0.2914100885
29,train_mse,0.2761352062
30,train_mse,0.2587929964
31,train_mse,0.2638084292
32,train_mse,0.2823511362
33,train_mse,0.2591383457
34,train_mse,0.2895812392
35,train_mse,0.2892522812
36,train_mse,0.3126143217
37,train_mse,0.2631120682
38,train_mse,0.2576739788
39,train_mse,0.2670529187
40,train_mse,0.2417338639
41,train_mse,0.2632497847
42,train_mse,0.2631688416
43,train_mse,0.249060601
44,train_mse,0.2234463841
45,train_mse,0.2507176399
46,train_mse,0.2671501637
47,train_mse,0.3123569787
48,train_mse,0.2571981549
49,train_mse,0.279684931
50,train_mse,0.2597077489
51,train_mse,0.2846238613
52,train_mse,0.2575036585
53,train_mse,0.2528913617
54,train_mse,0.3260810375
55,train_mse,0.2980439961
56,train_mse,0.2777290344
57,train_mse,0.3027713001
58,train_mse,0.2631476521
59,train_mse,0.2527086139
60,train_mse,0.2616060078
61,train_mse,0.261654675
62,train_mse,0.277355969
63,train_mse,0.2466870546
64,train_mse,0.2652305365
65,train_mse,0.2700091004
66,train_mse,0.2329993844
67,train_mse,0.2147185504
68,train_mse,0.2609110177
69,train_mse,0.2268494517
70,train_mse,0.2677938342
71,train_mse,0.2833303511
72,train_mse,0.2548642755
73,train_mse,0.2403801829
74,train_mse,0.2500751615
75,train_mse,0.2636277676
76,train_mse,0.2289707661
77,train_mse,0.2388989776
78,train_mse,0.2997714877
79,train_mse,0.2736567259
80,train_mse,0.2654334903
81,train_mse,0.2729026675
82,train_mse,0.3107179999
83,train_mse,0.268547684
84,train_mse,0.2730517983
85,train_mse,0.2758467793
86,train_mse,0.2464768589
87,train_mse,0.2699485421
88,train_mse,0.2502588928
89,train_mse,0.2250109911
90,train_mse,0.2805575132
91,train_mse,0.2501413226
92,train_mse,0.2855305076
93,train_mse,0.2532399297
94,train_mse,0.2681543827
95,train_mse,0.2632388175
96,train_mse,0.2538998425
97,train_mse,0.2545059323
98,train_mse,0.2385016233
99,train_mse,0.2662020922
100,train_mse,0.2282776535
100,val_pred_std,0.1832754314
101,train_mse,0.248551935
102,train_mse,0.2985054255
103,train_mse,0.2149235159
104,train_mse,0.2599170804
105,train_mse,0.2679739296
106,train_mse,0.2859646082
107,train_mse,0.2552387118
108,train_mse,0.2412702441
109,train_mse,0.2845199108
110,train_mse,0.238337636
111,train_mse,0.2913973033
112,train_mse,0.2589949071
