head,lr,seed,final_var_ratio,final_pearson_r,escape_bar,distance_below_bar
unclamped (linear on log density),0.0001,0,3.8220818948711725e-06,0.01678357128837589,0.1,"26,164x"
unclamped (linear on log density),0.0001,1,4.379973039308139e-06,0.017751855661349052,0.1,"22,831x"
unclamped (linear on log density),0.0001,2,6.625739704048461e-06,0.022271265286431252,0.1,"15,093x"
unclamped (linear on log density),0.0005,0,3.4014298881738333e-06,0.025150788601950094,0.1,"29,399x"
unclamped (linear on log density),0.0005,1,4.973420752690487e-06,-0.0051823471356837085,0.1,"20,107x"
unclamped (linear on log density),0.0005,2,6.171978560717813e-06,0.02449519231059544,0.1,"16,202x"
unclamped (linear on log density),0.001,0,2.6959827088756623e-06,0.015455817082908416,0.1,"37,092x"
unclamped (linear on log density),0.001,1,3.7333188270106236e-06,0.007935375827223324,0.1,"26,786x"
unclamped (linear on log density),0.001,2,2.5508400253234624e-06,-0.001394276606913727,0.1,"39,203x"
clamped control (bounded head),0.0001,1,2.278614127507904e-06,0.020314810810140048,0.1,"43,886x"
clamped control (bounded head),0.0001,2,2.9230879598235647e-06,0.005305056006826988,0.1,"34,210x"
clamped control (bounded head),0.0005,1,3.3436345174736145e-06,0.003781148926507511,0.1,"29,908x"
clamped control (bounded head),0.0005,2,3.561205461721329e-06,0.01658248585094221,0.1,"28,080x"
clamped control (bounded head),0.001,1,2.5442613798385835e-06,0.0007707515996530297,0.1,"39,304x"
clamped control (bounded head),0.001,2,2.2843455596075006e-06,0.0060949212060113075,0.1,"43,776x"
